,Oficina,Departamento,CP - Numero,CP - Valor,MP - Numero,MP - Valor,T - Numero,T - Valor,Check - Valor,Check - Numero
0,medellin,antioquia,1874,312205350,1922,1124727076,3796,1436932426,0,0
1,abejorral,antioquia,340,43395500,76,8931423,416,52326923,0,0
2,amalfi,antioquia,636,84010862,277,88771701,913,172782563,0,0
3,andes,antioquia,332,80152500,305,117321385,637,197473885,0,0
4,antioquia,antioquia,270,24245500,33,12083025,303,36328525,0,0
5,betulia,antioquia,213,42628000,58,29182394,271,72810394,-1000000,0
6,bolivar,antioquia,358,148013300,158,153502553,516,301515853,0,0
7,cañasgordas,antioquia,1031,86469083,431,82333301,1462,168802384,0,0
8,cisneros,antioquia,269,14062802,52,11039795,321,25102597,0,0
9,concordia,antioquia,214,42037310,62,36497133,276,78534443,0,0
10,fredonia,antioquia,696,206619967,90,72041140,786,278661107,0,0
11,frontino,antioquia,772,100240470,562,155951535,1334,256192005,0,0
12,granada,antioquia,902,52008712,216,29860835,1118,81869647,-100,0
13,ituango,antioquia,764,87654523,201,55242002,965,142896525,0,0
14,jardin,antioquia,141,20372700,179,58959388,320,79332088,0,0
15,jerico,antioquia,304,86332200,157,53970963,461,140303163,0,0
16,la ceja,antioquia,255,34964691,285,86546781,540,121511472,0,0
17,liborina,antioquia,491,47634500,159,33300113,650,80934613,0,0
18,marinilla,antioquia,932,63220727,489,43956159,1421,107176886,0,0
19,remedios,antioquia,58,8648934,116,38818959,174,47467893,0,0
20,rionegro,antioquia,299,19388450,287,53018074,586,72406524,0,0
21,salgar,antioquia,171,63295000,86,75572072,257,138867072,0,0
22,santa barbara,antioquia,203,38571100,83,35762004,286,74333104,0,0
23,santa rosa de osos,antioquia,164,20190482,451,105295367,615,125485849,0,0
24,san roque,antioquia,226,14995088,67,21068011,293,36063099,0,0
25,sonson,antioquia,665,52454643,112,22225609,777,74680252,0,0
26,sopetran,antioquia,625,56689256,129,60420128,754,117109384,0,0
27,tamesis,antioquia,757,75777375,242,55213864,999,130991239,0,0
28,turbo,antioquia,288,23670271,185,60927067,473,84597338,0,0
29,urrao,antioquia,393,39873242,224,65389405,617,105262647,0,0
30,yarumal,antioquia,872,80348752,540,154730249,1412,235079001,0,0
31,yolombo,antioquia,435,54571469,118,71220811,553,125792280,0,0
32,barranquilla,atlantico,928,200974975,543,419043966,1471,620018941,0,0
33,sabanalarga,atlantico,946,59180172,229,65732000,1175,124912172,0,0
34,cartagena,bolivar,929,153553067,682,456390671,1611,609943738,0,0
35,calamar,bolivar,336,53817748,250,127674183,586,181491931,0,0
36,corozal,bolivar,128,22595104,409,192107588,537,214702692,0,0
37,el carmen,bolivar,112,15797500,299,156926134,411,172723534,100,0
38,magangue,bolivar,397,55679868,496,213843352,893,269523220,0,0
39,maria la baja,bolivar,395,25991204,191,78605231,586,104596435,0,0
40,mompos,bolivar,231,70345300,554,214856528,785,285201828,0,0
41,ovejas,bolivar,70,10190000,134,62524027,204,72714027,0,0
42,san juan nepomuceno,bolivar,138,10337500,282,102901371,420,113238871,0,0
43,san marcos,bolivar,196,32787800,260,170137813,456,202925613,0,0
44,san onofre,bolivar,307,36598300,155,77373297,462,113971597,0,0
45,since,bolivar,248,38655700,490,150463440,738,189119140,0,0
46,sincelejo,bolivar,618,131240811,487,388676106,1105,519916917,0,0
47,sucre,bolivar,72,14241869,280,89677449,352,103919318,0,0
48,tunja,boyaca,1865,247603469,675,335512362,2540,583115831,0,0
49,chiquinquira,boyaca,1675,204706215,450,126999880,2125,331706095,0,0
50,duitama,boyaca,1013,119142770,208,90575076,1221,209717846,0,0
51,el cocuy,boyaca,917,70764184,367,99169002,1284,169933186,0,0
52,el espino,boyaca,572,44356500,85,16011086,657,60367586,0,0
53,garagoa,boyaca,1187,120591096,331,74546628,1518,195137724,0,0
54,guateque,boyaca,1067,82626000,141,28894060,1208,111520060,0,0
55,guayata,boyaca,904,84200925,68,11348850,972,95549775,0,0
56,la uvita,boyaca,1003,99345048,154,26477435,1157,125822483,0,0
57,leiva,boyaca,999,69936067,243,56851288,1242,126787355,0,0
58,miraflores,boyaca,964,117310068,1813,198301255,2777,315611323,0,0
59,moniquira,boyaca,1259,97351729,227,49006111,1486,146357840,0,0
60,orocue,boyaca,36,3830000,178,21788160,214,25618160,0,0
61,pauna,boyaca,925,75968468,197,28003927,1122,103972395,0,0
62,pesca,boyaca,1431,106799749,103,26278943,1534,133078692,0,0
63,puebloviejo,boyaca,1262,75296140,114,18879506,1376,94175646,0,0
64,ramiriqui,boyaca,1395,123142719,282,42792759,1677,165935478,0,0
65,saboya,boyaca,1150,115813363,337,44985766,1487,160799129,0,0
66,san luis de gaceno,boyaca,459,85407000,583,61491056,1042,146898056,0,0
67,san luis de palenque,boyaca,56,9744261,472,115186325,528,124930586,0,0
68,santa rosa de viterbo,boyaca,866,93100472,88,23420925,954,116521397,0,0
69,soata,boyaca,908,78263889,99,29330397,1007,107594286,0,0
70,socha,boyaca,813,68372002,386,47819216,1199,116191218,0,0
71,sogamoso,boyaca,3543,361066352,259,120537031,3802,481603383,0,0
72,tamara,boyaca,249,35310370,303,87915984,552,123226354,0,0
73,ventaquemada,boyaca,611,58871400,90,27854266,701,86725666,0,0
74,yopal,boyaca,201,44142050,551,107537251,752,151679301,0,0
75,manizales,caldas,394,125364482,412,338567658,806,463932140,0,0
76,aguadas,caldas,665,109729709,166,66281439,831,176011148,0,0
77,anserma,caldas,930,173515000,220,110981370,1150,284496370,0,0
78,apia,caldas,379,73350065,194,37771628,573,111121693,0,0
79,aranzazu,caldas,569,65138364,226,58858842,795,123997206,0,0
80,armenia,caldas,911,233549064,619,297301562,1530,530850626,0,0
81,belalcazar,caldas,352,102915518,50,15231611,402,118147129,0,0
82,belen de umbria,caldas,294,59418345,140,50147000,434,109565345,0,0
83,calarca,caldas,526,152774798,230,103243242,756,256018040,0,0
84,chinchina,caldas,202,35310500,67,43618682,269,78929182,0,0
85,filandia,caldas,430,39394000,166,25366847,596,64760847,0,0
86,la dorada,caldas,235,76396427,512,323046553,747,399442980,0,0
87,manzanares,caldas,1099,147762841,474,85715390,1573,233478231,0,0
88,marsella,caldas,310,57818921,182,51579304,492,109398225,0,0
89,neira,caldas,132,18525500,52,23631436,184,42156936,0,0
90,pacora,caldas,388,58787700,166,46463342,554,105251042,0,0
91,palestina,caldas,104,31383500,27,14209835,131,45593335,0,0
92,pensilvania,caldas,929,108196945,579,73950184,1508,182147129,0,0
93,pereira,caldas,591,149236200,557,324330185,1148,473566385,0,0
94,pijao,caldas,87,42184000,49,28576345,136,70760345,0,0
95,quimbaya,caldas,242,45663000,101,34243278,343,79906278,0,0
96,riosucio,caldas,1628,88770565,124,23171559,1752,111942124,0,0
97,salamina,caldas,520,61488300,363,95530981,883,157019281,0,0
98,santa rosa de cabal,caldas,627,76303922,563,171851218,1190,248155140,0,0
99,santuario,caldas,391,68566265,216,56304427,607,124870692,0,0
100,popayan,cauca,858,99841278,374,226089815,1232,325931093,0,0
101,bolivar,cauca,1098,127289300,479,64821876,1577,192111176,0,0
102,caloto,cauca,470,54595451,276,90343366,746,144938817,0,0
103,el tambo,cauca,515,28192500,159,23788199,674,51980699,0,0
104,piendam6,cauca,749,61786500,89,23983242,838,85769742,0,0
105,puerto tejada,cauca,291,41083100,148,71812091,439,112895191,0,0
106,santander,cauca,633,70488889,198,52903572,831,123392461,0,0
107,timbio,cauca,635,57745741,298,56799727,933,114545468,0,0
108,monteria,cordoba,525,133680557,342,342986590,867,476667147,0,0
109,ayapel,cordoba,335,56043798,292,136587965,627,192631763,0,0
110,cerete,cordoba,365,100586615,378,231309379,743,331895994,0,0
111,cienaga de oro,cordoba,217,32447100,260,91669289,477,124116389,0,0
112,lorica,cordoba,794,89186121,679,277079495,1473,366265616,0,0
113,sahagun,cordoba,539,51497084,556,253293271,1095,304790355,0,0
114,tierralta,cordoba,281,37419500,206,75410250,487,112829750,0,0
115,bogota,cundinamarca,843,345536448,1436,1688753972,2279,2034390420,-100000,0
116,anolaima,cundinamarca,763,99599500,323,83633665,1086,183233165,0,0
117,arbelaez,cundinamarca,825,78154300,291,52137865,1116,139292165,-9000000,0
118,cachipay,cundinamarca,206,23175500,54,19434664,260,42610164,0,0
119,caqueza,cundinamarca,666,73977727,137,21283370,803,95261097,0,0
120,chapinero,cundinamarca,156,139344731,580,739800435,736,879145166,0,0
121,chia,cundinamarca,197,40963849,95,37513232,292,78477081,0,0
122,choconta,cundinamarca,1633,182409563,192,66161449,1825,248571012,0,0
123,el colegio,cundinamarca,528,46108100,173,51715104,701,97823204,0,0
124,facatativa,cundinamarca,768,124889147,246,122731999,1014,247621146,0,0
125,fomeque,cundinamarca,417,56990471,244,49549245,661,106539716,0,0
126,fontibon,cundinamarca,23,4647656,29,10543545,52,15191201,0,0
127,funza,cundinamarca,18,3488531,24,11525614,42,15014145,0,0
128,fusagasuga,cundinamarca,437,56700835,512,106432613,949,163133448,0,0
129,gachala,cundinamarca,616,59022597,80,18583288,696,77605885,0,0
130,gacheta,cundinamarca,1171,121806188,404,75911336,1575,197717524,0,0
131,girardot,cundinamarca,246,83895857,209,174727084,455,258622941,0,0
132,guaduas,cundinamarca,334,39410702,123,44291197,457,83701899,0,0
133,guasca,cundinamarca,248,23988620,86,19324164,334,43312784,0,0
134,guatavita,cundinamarca,339,43609333,62,15840289,401,59449622,0,0
135,la calera,cundinamarca,239,36083158,183,62573121,422,98656279,0,0
136,la mesa,cundinamarca,593,87948634,161,79102044,754,167050678,0,0
137,la palma,cundinamarca,521,43043712,216,59357536,737,102401248,0,0
138,la peña,cundinamarca,241,19689842,61,18785583,302,38475425,0,0
139,madrid,cundinamarca,15,3340000,21,10411849,36,13751849,0,0
140,medina,cundinamarca,423,60273558,646,45002830,1069,105276388,0,0
141,nocaima,cundinamarca,227,22590500,65,24466307,292,47056807,0,0
142,pacho,cundinamarca,942,108150388,280,125257049,1222,233407437,0,0
143,pasca,cundinamarca,379,40676800,193,28919356,572,69596156,0,0
144,rafael reyes,cundinamarca,208,13546538,36,22568579,244,36115117,0,0
145,san francisco,cundinamarca,426,63808854,148,51650863,574,115459717,0,0
146,san juan de rioseco,cundinamarca,773,134635267,135,59249950,908,193885217,0,0
147,sasaima,cundinamarca,350,45907542,150,43505555,500,89413097,0,0
148,soacha,cundinamarca,248,40194243,106,33751535,354,73945778,0,0
149,sopo,cundinamarca,94,17285400,62,23261848,156,40547248,0,0
150,subachoque,cundinamarca,229,52796523,128,41669914,357,94466437,0,0
151,tocaima,cundinamarca,167,32418000,71,38627213,238,71045213,0,0
152,ubate,cundinamarca,1109,147497302,250,97367304,1359,244864606,0,0
153,une,cundinamarca,876,99549000,91,27813800,967,127362800,0,0
154,utica,cundinamarca,42,5103500,37,13014113,79,18117613,0,0
155,vergara,cundinamarca,518,68688500,128,30485352,464,99173852,0,182
156,villeta,cundinamarca,274,32268901,167,69423963,441,101692864,0,0
157,viota,cundinamarca,457,67897500,86,34923963,543,102821463,0,0
158,zipaquira,cundinamarca,343,62444000,113,61068425,456,123512425,0,0
159,quibdo,choco ,487,10865501,36,4228575,523,15094076,0,0
160,el carmen,choco ,141,17835000,58,11788875,199,29623875,0,0
161,neiva,huila,1022,242433633,774,272721964,1796,515155597,0,0
162,acevedo,huila,457,38122713,89,17430885,546,55553598,0,0
163,baraya,huila,165,29115628,187,27968300,352,57083928,0,0
164,carnecerias,huila,221,17344718,172,31350988,393,48695706,0,0
165,garzon,huila,450,46046025,504,175943321,954,221989346,0,0
166,gigante,huila,294,32881279,165,54370750,459,87252029,0,0
167,la plata,huila,681,69695548,418,63907626,1099,133603174,0,0
168,palermo,huila,346,52554161,209,59760641,555,112314802,0,0
169,pitalito,huila,782,76951593,232,50584201,1014,127535794,0,0
170,san agustin,huila,299,30953900,136,35451745,435,66405645,0,0
171,timana,huila,438,44259762,125,29820917,563,74080679,0,0
172,yaguara,huila,356,65051671,165,66539112,521,131590783,0,0
173,santa marta,magadalena,490,124501261,341,238161843,831,362663104,0,0
174,cienaga,magadalena,272,43405798,137,95887218,409,139293016,0,0
175,codazzi,magadalena,140,38571742,144,65349820,284,103921562,0,0
176,chiriguana,magadalena,200,26826124,288,84556998,488,111383122,0,0
177,el banco,magadalena,129,23977198,503,183227901,632,207205099,0,0
178,fundacion,magadalena,279,100849524,556,373161787,835,474011311,0,0
179,plato,magadalena,139,32094323,621,255352016,760,287446339,0,0
180,valledupar,magadalena,486,119009772,655,270433553,1141,389443325,0,0
181,pasto,nariño,1583,160705993,1426,342035429,3009,502741422,0,0
182,contadero,nariño,558,59750000,158,26677488,716,86427488,0,0
183,ipiales,nariño,589,112037213,264,101738621,853,213775834,0,0
184,la cruz,nariño,1368,189966706,115,33770000,1483,223736706,0,0
185,la union,nariño,997,116450304,472,105801411,1469,222251715,0,0
186,mocoa,nariño,186,10448929,504,49825968,690,60274897,0,0
187,samaniego,nariño,686,58109320,345,51453701,1031,109563021,0,0
188,sandona,nariño,744,74442062,210,30807573,954,105249635,0,0
189,tuquerres,nariño,576,65120584,191,61835798,767,126956382,0,0
190,cucuta,norte de santander,564,178274000,479,375407930,1043,553681930,0,0
191,arboledas,norte de santander,446,37844295,55,12095956,501,49940251,0,0
192,cachira,norte de santander,666,49041500,316,43354250,982,92395750,0,0
193,convencion,norte de santander,721,92296683,330,188567580,1051,280864263,0,0
194,chinacota,norte de santander,254,28655100,191,45901070,445,74556170,0,0
195,durania,norte de santander,438,134355000,32,14830781,470,149185781,0,0
196,gramalote,norte de santander,405,52934875,183,51644070,588,104578945,0,0
197,ocaña,norte de santander,553,76354681,407,174141976,960,250496657,0,0
198,pamplona,norte de santander,893,125632880,588,210878701,1481,336511581,0,0
199,salazar,norte de santander,411,54991900,166,39092996,577,94084896,0,0
200,sardinata,norte de santander,456,64222000,150,24015593,606,88237593,0,0
201,toledo,norte de santander,622,55249100,234,34915103,856,90164203,0,0
202,bucaramanga,santander,1725,291212782,1156,559298267,2881,850511049,0,0
203,barichara,santander,203,21729000,41,5442250,244,27171250,0,0
204,barrancabermeja,santander,80,14784870,122,87278606,202,102063476,0,0
205,cimitarra,santander,47,7147461,94,27176327,141,34323788,0,0
206,charala,santander,857,81271307,498,91732515,1355,173003822,0,0
207,gambita,santander,240,24327830,253,37270425,493,61598255,0,0
208,malaga,santander,2407,182737602,253,78617450,2660,261355052,0,0
209,matanza,santander,551,45728000,269,32695647,820,78423647,0,0
210,onzaga,santander,619,60823038,44,9714000,663,70537038,0,0
211,piedecuesta,santander,738,44965406,181,32148980,919,77114386,0,0
212,puente nacional,santander,373,30347274,556,77289451,929,107636725,0,0
213,puerto wilches,santander,140,23207000,200,57684329,340,80891329,0,0
214,rionegro,santander,513,80150333,327,61521557,840,141671890,0,0
215,san andres,santander,1238,89641087,461,67080750,1699,156721837,0,0
216,san gil,santander,1037,107707000,278,134063995,1315,241770995,0,0
217,san vicente,santander,523,73977212,199,82313000,722,156290212,0,0
218,socorro,santander,688,95785200,439,263077864,1127,358863064,0,0
219,suaita,santander,644,79808000,142,44778310,786,124586310,0,0
220,sucre,santander,368,31715500,219,32074791,587,63790291,0,0
221,surata,santander,241,18578500,157,23328529,398,41907029,0,0
222,velez,santander,263,24393073,228,59069025,491,83462098,0,0
223,zapatoca,santander,262,27857000,179,60810456,441,88667456,0,0
224,ibague,tolima,1541,254086106,1233,581432883,2774,835518989,0,0
225,ambalema,tolima,38,8538000,39,12214815,77,20752815,0,0
226,anzoategui,tolima,68,15255320,48,12935882,116,28191202,0,0
227,armero,tolima,267,79017157,179,105430998,446,184448155,0,0
228,ataco,tolima,66,8007819,6,2147685,72,10155504,0,0
229,cajamarca,tolima,352,41892935,243,84407509,595,126300444,0,0
230,cunday,tolima,290,44204641,91,34367108,381,78571749,0,0
231,chaparral,tolima,252,33141566,295,81297511,547,114439077,0,0
232,dolores,tolima,188,30204710,83,18273890,271,48478600,0,0
233,espinal,tolima,754,106752330,194,125761731,948,232514061,0,0
234,el guamo,tolima,980,83170232,313,110026974,1293,193197206,0,0
235,fresno,tolima,640,63135900,245,59608418,885,122744318,0,0
236,herveo,tolima,246,33998500,97,19137884,343,53136384,0,0
237,honda,tolima,118,43553145,174,132996609,292,176549754,0,0
238,icononzo,tolima,1003,134738614,420,66488277,1423,201226891,0,0
239,libano,tolima,861,136905339,709,216757409,1570,353662748,0,0
240,mariquita,tolima,354,31925858,146,49034117,500,80959975,0,0
241,melgar,tolima,212,59291571,109,78401490,321,137693061,0,0
242,ortega,tolima,352,43418974,82,31268260,434,74687234,0,0
243,purificacion,tolima,994,136023734,437,139734807,1431,275758541,0,0
244,roncesvalles,tolima,61,14940392,110,50291625,171,65232017,0,0
245,san antonio,tolima,234,46815956,91,24088148,325,70904104,0,0
246,san luis,tolima,427,38132550,140,41906729,567,80039279,0,0
247,santa isabel,tolima,115,16169186,165,39478382,280,55647568,0,0
248,venadillo,tolima,133,26392912,119,36785746,252,63178658,0,0
249,villahermosa,tolima,461,46934742,258,45910176,719,92844918,0,0
250,villarica,tolima,307,55558767,96,23399733,403,78958500,0,0
251,cali,valle del cauca,756,213772920,792,607361662,1548,821134582,0,0
252,alcala,valle del cauca,281,45836500,40,8714655,321,54551155,0,0
253,buga,valle del cauca,564,73372900,502,237228592,1066,310601492,0,0
254,caicedonia,valle del cauca,198,69381917,129,53320042,327,122701959,0,0
255,cartago,valle del cauca,600,163488339,485,321148374,1085,484636713,0,0
256,cerrito,valle del cauca,377,48973834,262,89017316,639,137991150,0,0
257,dagua,valle del cauca,267,22011000,135,25766688,402,47777688,0,0
258,el aguila,valle del cauca,178,41363061,141,38873509,319,80236570,0,0
259,el cairo,valle del cauca,501,111213140,309,89282821,810,200495961,0,0
260,palmira,valle del cauca,760,88814011,490,198283109,1250,287097120,0,0
261,restrepo,valle del cauca,357,49912500,142,63854292,499,113766792,0,0
262,roldanillo,valle del cauca,639,76798900,391,144461506,1030,221260406,0,0
263,sevilla,valle del cauca,384,87393500,423,136805301,807,224198801,0,0
264,tulua,valle del cauca,686,112858185,521,238380967,1207,351239152,0,0
265,trujillo,valle del cauca,321,59373927,480,147256331,801,206630258,0,0
266,versalles,valle del cauca,771,125597389,405,126375207,1176,251972596,0,0
267,zarzal,valle del cauca,122,22135000,120,65427536,242,87562536,0,0
268,arauca,arauca,101,17600760,935,167591585,1036,185192345,0,0
269,tame,arauca,88,16635063,882,152012868,970,168647931,0,0
270,riohacha,guajira,231,48169247,149,54501153,380,102670400,0,0
271,san juan del cesar,guajira,442,78494304,659,202403307,1101,280897611,0,0
272,villanueva,guajira,366,97936399,265,120328888,631,218265287,0,0
273,villavicencio,meta,969,349375665,942,497712864,1911,847088529,0,0
274,guamal,meta,295,53925665,1231,106658577,1526,160584242,0,0
275,puerto lopez,meta,323,42382748,256,50642908,579,93025656,0,0
276,restrepo,meta,449,41011094,1252,110392813,1701,151403907,0,0
277,san martin,meta,228,46195866,1375,120205308,1603,166401174,0,0
278,florencia,caqueta,1099,117621816,481,135352591,1580,252974407,0,0
279,leticia,amazonas,26,5374000,19,3572000,45,8946000,0,0
280,mitu,vaupes,86,32800000,0,0,86,32800000,0,0
281,puerto carreño,vichada,56,13025000,17,7520000,73,20545000,0,0
282,san andres ,san andres y providencia,83,5056600,22,1791300,105,6847900,0,0
